"","loc_tag","inout","lat","long"
"1","1907 ZE Home","inside",45.497901,-122.609954
"2","20TH & POWELL","inside",45.498826,-122.645673
"3","27th-Stanton","inside",45.543336,-122.63826
"4","36th & SE Woodward","outside",45.501722,-122.626231
"5","3SG","outside",45.421562,-122.629802
"6","3SG-Indoors","inside",45.422556,-122.630188
"7","51st and Lincoln","outside",45.508049,-122.610046
"8","53rd Drive","outside",45.542799,-122.747395
"9","97210","outside",45.531872,-122.701722
"10","Arnada Neighborhood","outside",45.638341,-122.66739
"11","Benchview Terrace","outside",45.420348,-122.817491
"12","Benson 1","outside",45.527843,-122.651076
"13","BHP","outside",45.470191,-122.816411
"14","BM HQ","inside",45.510738,-122.606803
"15","Bonny Slope","outside",45.538933,-122.794502
"16","Bridge Ave","outside",45.58495,-122.771224
"17","Bridlemile","outside",45.493717,-122.716816
"18","Bull Mountain Home","outside",45.416546,-122.81784
"19","Burlingame","inside",45.468113,-122.688392
"20","byuki project","outside",45.492607,-122.640135
"21","Carpenter Fam","outside",45.574679,-122.698169
"22","Carpenter House","outside",45.530026,-122.708562
"23","Chase and Angie","inside",45.540926,-122.804535
"24","ChiliWeeds","inside",45.468944,-122.642298
"25","Clear Hills","outside",45.481501,-122.754719
"26","Colby","inside",45.469511,-122.655773
"27","Concordia","outside",45.565768,-122.628012
"28","Council Crest","outside",45.500182,-122.70926
"29","Delta Court","outside",45.51913,-122.848597
"30","Division Street","outside",45.503971,-122.633575
"31","East Eliot","outside",45.539994,-122.66046
"32","Eastmoreland","outside",45.477236,-122.624219
"33","Edgewood Outside","outside",45.504303,-122.699369
"34","Eliot Tower","outside",45.516197,-122.684528
"35","Elm","inside",45.482724,-122.779312
"36","Forest Hills","inside",45.412514,-122.720145
"37","G&M_Inside","inside",45.499526,-122.633284
"38","GH Tillamook Row","outside",45.537619,-122.666534
"39","GH Tillamook Row 48a","inside",45.538029,-122.665566
"40","Gnomish Air","inside",45.492349,-122.653037
"41","Gnomish Garden","outside",45.492343,-122.652897
"42","Hall House","inside",45.486788,-122.701568
"43","Healy Heights","outside",45.488128,-122.696269
"44","Hewett Blvd 1","outside",45.502528,-122.732218
"45","Home","inside",45.559475,-122.853683
"46","Infused Outside","outside",45.42434,-122.69289
"47","Inside","inside",45.499526,-122.633235
"48","Irvington NE 12th & Tillamook","outside",45.537247,-122.653209
"49","Jan's Air","outside",45.576301,-122.666872
"50","Joy Fortress","inside",45.532922,-122.610612
"51","Ku'Ale Heights Milwaukie, OR","outside",45.43199,-122.637432
"52","LairHill","outside",45.495091,-122.686669
"53","Lake Road","outside",45.431451,-122.625914
