"","loc_tag","long","lat","inout","time_group","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"1","20TH & POWELL",-122.645673,45.498826,"inside","afternoon",7.5510243902439,13.5795772357724,18.8639674796748,-71.4845528455285,81.0276422764228,29.9154471544715,10.4251869918699,0.03,1007.54552845528,NA
"2","20TH & POWELL",-122.645673,45.498826,"inside","morning",1.52377855887522,2.93653778558875,4.1771704745167,-72.9894551845343,78.3145869947276,30.6942003514938,2.93653778558875,0.03,1012.72775043937,NA
"3","20TH & POWELL",-122.645673,45.498826,"inside","night",3.23739682539683,6.73585714285714,12.4356984126984,-74.1603174603175,80.3809523809524,30.1333333333333,6.67406349206349,0.03,1020.28184126984,NA
"4","27th-Stanton",-122.63826,45.543336,"inside","afternoon",23.517247706422,36.3839755351682,39.9269724770642,-56.8440366972477,78.5718654434251,32.9113149847095,26.6037003058104,0,995.614220183486,NA
"5","27th-Stanton",-122.63826,45.543336,"inside","morning",3.32175257731959,5.40893470790378,6.58219931271478,-56.9209621993127,75.3264604810997,36.3711340206186,5.28491408934708,0,1009.51738831615,NA
"6","27th-Stanton",-122.63826,45.543336,"inside","night",4.47933147632312,6.52852367688022,7.22721448467967,-57.3565459610028,78.4902506963788,33.158774373259,6.52852367688022,0,1022.0051810585,NA
"7","36th & SE Woodward",-122.626231,45.501722,"outside","afternoon",8.12771111111111,12.4172407407407,12.922462962963,-71.2814814814815,79.7866666666667,41.1755555555556,12.0409037037037,0.01,1014.77562222222,NA
"8","36th & SE Woodward",-122.626231,45.501722,"outside","morning",9.34163333333333,16.0450185185185,17.3919111111111,-70.022962962963,61.9762962962963,68.6044444444444,15.7420222222222,0.01,1015.20457037037,NA
"9","36th & SE Woodward",-122.626231,45.501722,"outside","night",12.1329555555556,19.1560222222222,20.4926962962963,-70.0459259259259,62.7333333333333,65.2674074074074,18.1658407407407,0.01,1014.78438518519,NA
"10","3SG",-122.629802,45.421562,"outside","afternoon",8.79127802690583,14.1015134529148,15.3423430493274,-78.0224382946896,81.4861630516081,39.3635003739716,13.7046524663677,0.0642825112107623,1011.23938760269,NA
