"","loc_tag","inout","ab","long","lat","date","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"1","1907 ZE Home","inside","A",-122.609954,45.497901,2020-10-16,103.152592592593,164.878148148148,173.971111111111,-58.0555555555556,80.6296296296296,14.6481481481481,110.487037037037,NA,NA,NA
"2","1907 ZE Home","inside","B",-122.609954,45.497901,2020-10-16,NA,NA,NA,NA,NA,NA,NA,0,871.393518518518,NA
"3","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-01,53.1583,86.8277,100.8689,-59.29,81.61,17.55,58.9441,NA,NA,NA
"4","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-02,6.41285714285714,11.7557142857143,15.5485714285714,-55,80.8571428571429,17.1428571428571,11.7557142857143,NA,NA,NA
"5","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-09,1.4794,3.2336,6.7166,-62.96,85.12,33.14,3.2182,NA,NA,NA
"6","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-10,3.16566666666667,6.23569444444444,9.84183333333333,-75.8402777777778,83.8847222222222,30.4625,6.20831944444444,NA,NA,NA
"7","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-11,0.847013888888889,2.35431944444444,4.76430555555556,-75.8027777777778,80.0430555555556,31.0527777777778,2.35431944444444,NA,NA,NA
"8","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-12,0.401513888888889,1.30558333333333,2.76779166666667,-72.0388888888889,78.925,32.3833333333333,1.30247222222222,NA,NA,NA
"9","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-13,1.78345833333333,3.79072222222222,6.74447222222222,-73.9513888888889,79.9402777777778,31.2027777777778,3.78754166666667,NA,NA,NA
"10","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-14,2.40073611111111,4.94858333333333,8.298875,-73.1513888888889,79.1152777777778,30.225,4.94736111111111,NA,NA,NA
"11","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-15,3.24788888888889,5.63870833333333,8.176,-72.1847222222222,77.4166666666667,29.9680555555556,5.63840277777778,NA,NA,NA
"12","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-16,6.27225,10.9202777777778,17.3755416666667,-75.3791666666667,78.5041666666667,28.6625,10.8670277777778,NA,NA,NA
"13","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-17,4.14018055555556,8.33063888888889,15.575125,-75.2,79.5666666666667,31.3486111111111,8.29493055555556,NA,NA,NA
"14","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-18,5.80033333333333,12.140875,23.6784305555556,-76.5888888888889,79.4763888888889,31.0083333333333,12.1014027777778,NA,NA,NA
"15","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-19,1.08659722222222,2.44043055555556,4.33690277777778,-75.8319444444444,78.8652777777778,32.3194444444444,2.44045833333333,NA,NA,NA
"16","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-20,2.1745,4.48866666666667,7.84520833333333,-76.3236111111111,78.0152777777778,30.6458333333333,4.47516666666667,NA,NA,NA
"17","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-21,2.05875,5.64119444444444,13.4719583333333,-76.3486111111111,77.925,29.8833333333333,5.62226388888889,NA,NA,NA
"18","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-22,4.20830319888734,7.35877607788595,11.1041724617524,-74.2781641168289,74.778859527121,26.1752433936022,7.35361613351878,NA,NA,NA
"19","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-23,3.19163888888889,5.26505555555556,7.07194444444444,-74.2041666666667,75.0694444444444,25.8444444444444,5.265,NA,NA,NA
"20","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-24,2.36981919332406,4.30906815020862,6.76061196105702,-74.0625869262865,78.4394993045897,26.5132127955494,4.30906815020862,NA,NA,NA
"21","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-25,2.81691666666667,4.35051388888889,4.91451388888889,-73.5069444444444,72.6861111111111,23.0347222222222,4.350625,NA,NA,NA
"22","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-26,4.15547222222222,6.75363888888889,8.96204166666667,-73.3208333333333,70.275,20.9777777777778,6.75181944444444,NA,NA,NA
"23","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-27,12.8093055555556,20.1198472222222,26.8922361111111,-74.7638888888889,72.0638888888889,21.8097222222222,19.6342777777778,NA,NA,NA
"24","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-28,9.58677777777778,16.1859166666667,24.6734166666667,-74.4486111111111,75.7041666666667,25.0319444444444,16.1819583333333,NA,NA,NA
"25","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-29,13.8118472222222,20.8532222222222,26.7056111111111,-74.2930555555556,75.8069444444444,27.9861111111111,20.3350972222222,NA,NA,NA
"26","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-30,7.18355555555556,10.8750694444444,13.1685694444444,-75.6444444444444,75.9819444444445,28.8083333333333,10.8750694444444,NA,NA,NA
"27","20TH & POWELL","inside","A",-122.645673,45.498826,2020-10-31,5.02001388888889,8.27680555555555,11.2620833333333,-75.2666666666667,74.2083333333333,27.6152777777778,8.27570833333333,NA,NA,NA
"28","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-01,4.77859527121001,7.35504867872045,8.7313769123783,-77.9749652294854,72.6968011126565,28,7.35504867872045,NA,NA,NA
"29","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-02,12.686125,19.1582916666667,24.3024583333333,-76.4638888888889,72.5138888888889,27.3222222222222,18.9378611111111,NA,NA,NA
"30","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-03,16.6075138888889,25.7249305555556,34.6047777777778,-72.8402777777778,73.4319444444444,29.5166666666667,24.6633333333333,NA,NA,NA
"31","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-04,1.47995833333333,3.16701388888889,5.55772222222222,-73.6638888888889,74.725,34.4930555555556,3.16702777777778,NA,NA,NA
"32","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-05,1.67695833333333,3.85370833333333,7.64419444444444,-73.3916666666667,78.4375,36.375,3.85029166666667,NA,NA,NA
"33","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-06,1.87393055555556,4.07172222222222,7.33994444444444,-74.5236111111111,77.875,33.8819444444444,3.96554166666667,NA,NA,NA
"34","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-07,4.92258692628651,9.39182197496523,16.788776077886,-74.2573018080668,74.2823365785814,31.1529902642559,9.29968011126565,NA,NA,NA
"35","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-08,1.59872222222222,2.93941666666667,4.12406944444444,-72.1527777777778,70.375,30.1527777777778,2.93945833333333,NA,NA,NA
"36","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-09,15.1284444444444,23.2064583333333,30.1836527777778,-74.9777777777778,69.8097222222222,28.5388888888889,22.1862361111111,NA,NA,NA
"37","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-10,5.80936111111111,10.3174444444444,16.5988055555556,-76.3486111111111,71.1569444444444,27.9319444444444,10.2983888888889,NA,NA,NA
"38","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-11,4.44447222222222,8.38466666666667,14.7084722222222,-75.4375,75.2555555555556,28.8305555555556,8.09047222222222,NA,NA,NA
"39","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-12,12.6966805555556,19.4815277777778,25.8099305555556,-74.4416666666667,73.2736111111111,27.0222222222222,19.0003472222222,NA,NA,NA
"40","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-13,20.171625,28.7957638888889,41.5893888888889,-70.2902777777778,76.7958333333333,27.2319444444444,21.6847638888889,NA,NA,NA
"41","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-14,1.16295833333333,3.21209722222222,7.27455555555556,-71.9805555555556,73.8083333333333,28.7388888888889,3.12106944444444,NA,NA,NA
"42","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-15,0.40201668984701,1.2978859527121,3.41687065368567,-71.2183588317107,72.2267037552156,30.3852573018081,1.29681502086231,NA,NA,NA
"43","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-16,2.56459722222222,4.70383333333333,6.735125,-69.0444444444445,74.5777777777778,31.0486111111111,4.70380555555556,NA,NA,NA
"44","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-17,2.89510431154381,5.73407510431154,9.86486787204451,-73.6453407510431,75.7204450625869,31.8122392211405,5.73404728789986,NA,NA,NA
"45","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-18,2.86754166666667,6.13894444444444,11.8779305555556,-69.6986111111111,75.3333333333333,31.85,6.13877777777778,NA,NA,NA
"46","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-19,5.71516666666667,11.56675,23.6575277777778,-77.4388888888889,77.9291666666667,29.3611111111111,11.016625,NA,NA,NA
"47","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-20,4.13691666666667,6.55798611111111,8.55797222222222,-69.0458333333333,73.6680555555556,29.7194444444444,6.53131944444444,NA,NA,NA
"48","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-21,4.85769444444444,8.02116666666667,10.8532222222222,-67.7833333333333,74.1625,28.6125,8.01393055555556,NA,NA,NA
"49","20TH & POWELL","inside","A",-122.645673,45.498826,2020-11-22,7.00565277777778,11.1517916666667,14.147,-69.3375,71.0222222222222,28.4027777777778,11.1517916666667,NA,NA,NA
